W. M. Irvine and J. B. Pollack, "Infrared optical properties of water
and ice spheres," Icarus, 8, 324--360, (1968).

lambda	 absorption
 (nm) 	   (1/cm)   
200	 0.08
250	 0.03
300	 0.015
350	 0.003
400	 0.001
450	 0.0002
500	 0.00025
550	 0.00035
600	 0.0015
650	 0.0025
700	 0.006
750	 0.025
760	 0.026
800	 0.021
806	 0.02
850	 0.041
900	 0.067
950	 0.365
970	 0.46
1000	 0.355
1050	 0.131
1060	 0.128
1100	 0.19
1150	 0.8
1190	 1.05
1200	 1.02
1250	 0.89
1258	 0.88
1300	 1.08
1350	 2.7
1400	 13
1450	 26
1500	 17.3
1550	 9.6
1600	 6.2
1650	 5.1
1660	 5
1700	 5.15
1750	 6.4
1800	 8
1850	 9.5
1900	 80.5
1940	 114
1950	 110
2000	 68
2050	 41
2100	 26
2150	 19
2200	 16
2210	 15.5
2250	 17
2300	 23
2350	 30
2400	 42
2450	 61
2500	 83
2550	 97
2600	 99
2625	 109
2650	 131
2700	 235
2750	 1100
2800	 4212
2900	 10580
2950	 11700
3000	 10860
3100	 7430
3200	 3700
3300	 1650
3400	 698
3500	 334
3600	 198
3750	 119
3830	 111
4000	 151
4500	 411
4660	 468
4800	 431
5000	 308
5260	 229
5500	 276
5800	 699
6000	 2138
6050	 2328
6400	 852
6500	 794
7000	 618
7500	 579
8000	 566
8500	 557
9000	 566
9500	 579
10000	 668
