S. A. Sullivan, "Experimental study of the absorption in distilled
water, artificial sea water, and heavy water in the visible region of
the spectrum," Opt. Soc. Am. J., 53, 962--968, (1963).

lambda	 absorption
 (nm) 	   (1/cm)   
790	 0.02052
788	 0.0207
786	 0.02102
784	 0.02097
782	 0.02177
780	 0.02346
778	 0.02375
776	 0.02403
774	 0.02468
772	 0.02485
770	 0.02519
768	 0.02525
766	 0.02615
764	 0.02633
762	 0.02653
760	 0.02685
759	 0.02688
758	 0.02692
757	 0.02685
756	 0.02688
755	 0.02696
754	 0.02709
753	 0.02679
752	 0.02683
751	 0.02687
750	 0.02683
749	 0.02703
748	 0.02705
747	 0.027
746	 0.02723
745	 0.02712
744	 0.02713
743	 0.02711
742	 0.02704
741	 0.02718
740	 0.02698
739	 0.02697
738	 0.02686
737	 0.02657
736	 0.02643
735	 0.02608
734	 0.02553
733	 0.02492
732	 0.02447
731	 0.02395
730	 0.02309
729	 0.02211
728	 0.02101
727	 0.01973
726	 0.01863
725	 0.01756
724	 0.01676
723	 0.0159
722	 0.01512
721	 0.01447
720	 0.01375
719	 0.01325
718	 0.01274
717	 0.01221
716	 0.01168
715	 0.01114
714	 0.01062
713	 0.01026
712	 0.00979
711	 0.00938
710	 0.00904
709	 0.00871
708	 0.00836
707	 0.00804
706	 0.00779
705	 0.0075
704	 0.00727
703	 0.00704
702	 0.00683
701	 0.00665
700	 0.00648
699	 0.00632
698	 0.00615
697	 0.00596
696	 0.00581
695	 0.00569
694	 0.00555
693	 0.00543
692	 0.00529
691	 0.00518
690	 0.00511
689	 0.00502
688	 0.00491
687	 0.0048
686	 0.00477
685	 0.00467
684	 0.00458
683	 0.00455
682	 0.00452
681	 0.0045
680	 0.00447
679	 0.00445
678	 0.00444
677	 0.0044
676	 0.00439
675	 0.00438
674	 0.00428
673	 0.00431
672	 0.00429
671	 0.00425
670	 0.00425
669	 0.00425
668	 0.00422
667	 0.0042
666	 0.00419
665	 0.00419
664	 0.00417
663	 0.00415
662	 0.00411
661	 0.0041
660	 0.00407
659	 0.00403
658	 0.00395
657	 0.00392
656	 0.00393
655	 0.00387
654	 0.00376
653	 0.00365
652	 0.00359
651	 0.0036
650	 0.00351
649	 0.00347
648	 0.00343
647	 0.00344
646	 0.00343
645	 0.00339
644	 0.00339
643	 0.00337
642	 0.00337
641	 0.00336
640	 0.00334
639	 0.00333
638	 0.00326
637	 0.00331
636	 0.00326
635	 0.00325
634	 0.00323
633	 0.00326
632	 0.00321
631	 0.00321
630	 0.0032
629	 0.00313
628	 0.00312
627	 0.0031
626	 0.00312
625	 0.00305
624	 0.00309
623	 0.0031
622	 0.00307
621	 0.00307
620	 0.00309
619	 0.00306
618	 0.00304
617	 0.003
616	 0.00303
615	 0.003
614	 0.00298
613	 0.00294
612	 0.00296
611	 0.00298
610	 0.00293
609	 0.00294
608	 0.00296
607	 0.00294
606	 0.00295
605	 0.00293
604	 0.0029
603	 0.00289
602	 0.00284
601	 0.0028
600	 0.00272
599	 0.00261
598	 0.00246
597	 0.00235
596	 0.00222
595	 0.00214
594	 0.00201
593	 0.0019
592	 0.00185
591	 0.00176
590	 0.00172
589	 0.0016
588	 0.00152
587	 0.00143
586	 0.0013
585	 0.00119
584	 0.00122
583	 0.0012
582	 0.00111
581	 0.00102
450	 0.00033
448	 0.0003
446	 0.00034
444	 0.00034
442	 0.00035
440	 0.00032
438	 0.00032
436	 0.00036
434	 0.00034
432	 0.00039
430	 0.0004
428	 0.00041
426	 0.00045
424	 0.00042
422	 0.00036
420	 0.00038
418	 0.00045
416	 0.00045
414	 0.00047
412	 0.00053
410	 0.00047
408	 0.00047
406	 0.00053
404	 0.00062
402	 0.00058
400	 0.00058
