D. M. Wieliczka and S. Weng and M. R. Querry, "Wedge shaped cell for
highly absorbent liquids: infrared optical constants of water," Appl.
Opt., 28, 1714--1719, (1989).

wavelength	absorption
(nm)	(1/cm)
20000	2471.8
19952	2483.4
19908	2494.5
19861	2511.9
19814	2529.3
19771	2546.9
19677	2559.0
19635	2570.3
19589	2582.1
19543	2594.6
19497	2606.5
19455	2623.7
19410	2636.3
19365	2648.3
19320	2660.9
19231	2673.3
19186	2685.3
19142	2698.1
19099	2710.2
19055	2722.3
19011	2735.2
18968	2754.0
18879	2767.1
18836	2780.0
18793	2792.3
18751	2798.6
18706	2812.1
18664	2825.2
18622	2837.6
18536	2850.8
18491	2864.5
18450	2877.6
18409	2890.1
18365	2897.1
18282	2910.4
18238	2924.2
18198	2930.6
18155	2944.4
18113	2951.4
18031	2964.7
17989	2971.7
17947	2985.6
17905	2992.6
17864	3006.6
17784	3013.0
17743	3027.0
17702	3034.0
17662	3047.4
17621	3054.4
17538	3068.9
17498	3075.9
17458	3090.1
17419	3097.1
17337	3111.7
17298	3118.7
17259	3133.0
17218	3140.6
17141	3147.3
17100	3162.2
17062	3169.2
16984	3176.4
16943	3184.0
16903	3191.5
16866	3206.0
16787	3213.6
16750	3220.7
16711	3228.2
16633	3235.8
16595	3243.3
16559	3250.3
16483	3258.5
16445	3266.0
16407	3265.9
16369	3273.4
16292	3281.2
16255	3288.7
16218	3296.2
16145	3303.4
16106	3303.6
16033	3311.4
15995	3319.4
15959	3326.8
15886	3326.4
15848	3334.3
15813	3334.5
15741	3341.9
15704	3341.7
15667	3349.6
15596	3349.5
15559	3350.1
15487	3357.6
15454	3356.8
15418	3357.2
15347	3357.2
15312	3364.9
15242	3364.7
15205	3365.5
15135	3365.0
15101	3372.7
15067	3372.8
14997	3372.6
14963	3372.7
14894	3373.1
14859	3372.7
14791	3373.0
14758	3372.8
14689	3373.3
14656	3373.0
14588	3373.3
14554	3365.7
14489	3357.4
14455	3357.4
14388	3357.2
14355	3349.2
14290	3349.6
14255	3341.9
14190	3342.1
14158	3334.6
14092	3334.1
14061	3326.4
13996	3318.5
13965	3311.5
13900	3296.1
13835	3288.9
13805	3273.5
13740	3266.0
13708	3250.7
13646	3235.9
13615	3221.3
13552	3213.9
13490	3191.5
13459	3176.4
13398	3154.3
13335	3133.3
13305	3112.1
13243	3090.5
13214	3068.9
13153	3041.1
13092	3012.9
13062	2985.3
13002	2957.4
12942	2924.7
12912	2897.4
12853	2863.6
12794	2831.6
12765	2792.9
12706	2760.2
12647	2722.5
12590	2685.0
12560	2642.4
12503	2606.1
12446	2552.5
12389	2511.5
12359	2460.5
12303	2409.5
12246	2355.1
12189	2307.3
12162	2249.3
12107	2192.2
12050	2143.1
11995	2084.8
11940	2028.0
11912	1967.5
11858	1909.6
11804	1853.5
11750	1794.7
11695	1741.8
11641	1694.7
11587	1648.4
11561	1600.0
11507	1552.8
11455	1502.9
11403	1455.8
11351	1406.0
11298	1354.7
11246	1309.6
11236	1300.7
11223	1292.1
11211	1289.1
11198	1271.4
11186	1252.6
11173	1233.8
11161	1213.8
11148	1193.7
11136	1173.6
11123	1155.7
11111	1137.8
11099	1120.5
11086	1104.9
11074	1090.9
11062	1077.8
11050	1066.5
11038	1055.4
11025	1045.6
11013	1036.1
11001	1030.5
10989	1024.0
10977	1019.4
10965	1014.0
10953	1010.8
10941	1005.8
10929	1003.0
10917	999.48
10905	996.42
10893	991.97
10881	988.32
10870	984.42
10858	980.63
10846	976.48
10834	971.16
10823	965.95
10811	959.90
10799	953.26
10787	945.90
10776	938.76
10764	931.25
10753	919.98
10741	910.44
10730	902.28
10718	895.51
10707	886.61
10695	879.10
10684	870.98
10672	865.44
10661	857.76
10650	851.71
10638	844.59
10627	837.80
10616	831.94
10604	826.66
10593	821.84
10582	815.95
10571	809.91
10560	802.92
10549	797.69
10537	791.37
10526	785.28
10515	780.26
10504	776.29
10493	771.00
10482	764.85
10471	760.86
10460	757.21
10449	752.23
10438	747.72
10428	743.56
10417	739.51
10406	735.57
10395	730.65
10384	725.84
10373	722.60
10363	717.89
10352	714.14
10341	710.27
10331	705.77
10320	700.77
10309	696.13
10299	691.48
10288	688.17
10277	683.86
10267	680.16
10256	677.30
10246	674.44
10235	670.47
10225	667.22
10215	663.96
10204	661.32
10194	657.80
10183	655.51
10173	652.72
10163	649.80
10152	646.87
10142	643.31
10132	640.86
10121	637.79
10111	634.21
10101	631.24
10091	628.52
10081	624.79
10070	621.67
10060	618.68
10050	615.80
10040	612.91
10030	609.90
10020	607.50
10010	604.59
10000	601.93
9990.0	598.76
9980.0	596.58
9970.1	594.03
9960.2	592.10
9950.2	590.41
9940.4	588.85
9930.5	586.91
9920.6	585.08
9910.8	583.26
9901.0	581.55
9891.2	580.22
9881.4	578.12
9871.7	576.66
9861.9	575.19
9852.2	573.59
