V. M. Zolotarev, B. A. Mikhilov, L. L. Alperovich, and S. I. Popov,
"Dispersion and absorption of liquid water in the infrared and radio
regions of the spectrum," Optics and Spectroscopy, 27, 430--432, (1969).

lambda	absorption
(nm)	(1/cm)
1.e3	 3.393e-1
1.19e3	 1.056e0
1.2e3	 1.047e0
1.4e3	 1.526e1
1.43e3	 2.812e1
1.6e3	 5.498e0
1.8e3	 7.679e0
1.94e3	 1.166e2
2.e3	 6.283e1
2.2e3	 1.828e1
2.4e3	 4.294e1
2.6e3	 1.063e2
2.65e3	 3.319e2
2.7e3	 7.447e2
2.75e3	 3.519e3
2.8e3	 7.046e3
2.85e3	 1.164e4
2.9e3	 1.265e4
2.93e3	 1.33e4
2.95e3	 1.303e4
3.e3	 1.164e4
3.05e3	 1.03e4
3.1e3	 8.229e3
3.15e3	 5.106e3
3.2e3	 2.985e3
3.25e3	 2.127e3
3.3e3	 1.333e3
3.35e3	 9.378e2
3.4e3	 6.764e2
3.45e3	 4.553e2
3.5e3	 2.334e2
3.6e+3	 1.745e2
3.7e3	 1.359e2
3.8e3	 1.124e2
3.9e3	 1.16e2
4.e3	 1.414e2
4.1e3	 1.686e2
4.2e3	 1.735e2
4.3e3	 2.426e2
4.4e3	 2.856e2
4.5e3	 3.491e2
4.6e3	 3.961e2
4.7e3	 4.091e2
4.72e3	 4.207e2
4.8e3	 4.006e2
4.9e3	 3.59e2
5.e3	 3.142e2
5.1e3	 2.612e2
5.2e3	 2.344e2
5.3e3	 2.276e2
5.4e3	 2.281e2
5.5e3	 2.422e2
5.6e3	 2.581e2
5.7e3	 3.197e2
5.8e3	 4.333e2
5.9e3	 7.029e2
6.e3	 1.309e3
6.1e3	 2.06e3
6.2e3	 2.594e3
6.3e3	 1.676e3
6.4e3	 1.158e3
6.5e3	 8.7e2
6.6e3	 7.426e2
6.7e3	 6.715e2
6.8e3	 6.191e2
6.9e3	 5.974e2
7.e3	 5.745e2
7.1e3	 5.664e2
7.2e3	 5.603e2
7.3e3	 5.543e2
7.4e3	 5.502e2
7.5e3	 5.462e2
7.6e3	 5.407e2
7.7e3	 5.386e2
7.8e3	 5.413e2
7.9e3	 5.408e2
8.e3	 5.419e2
8.1e3	 5.414e2
8.2e3	 5.41e2
8.3e3	 5.42e2
8.4e3	 5.445e2
8.5e3	 5.455e2
8.6e3	 5.48e2
8.7e3	 5.518e2
8.8e3	 5.541e2
8.9e3	 5.507e2
9.e3	 5.627e2
9.1e3	 5.648e2
9.2e3	 5.696e2
9.3e3	 5.743e2
9.4e3	 5.815e2
9.5e3	 5.886e2
9.6e3	 5.969e2
9.7e3	 6.089e2
9.8e3	 6.283e2
9.9e3	 6.664e2
1.e4	 6.736e2
1.1e4	 1.211e3
1.2e4	 2.136e3
1.3e4	 3.093e3
1.4e4	 3.537e3
1.5e4	 3.636e3
1.53e4	 3.573e3
1.6e4	 3.377e3
1.7e4	 3.068e3
1.8e4	 2.793e3
1.9e4	 2.612e3
2.e4	 2.438e3
2.1e4	 2.274e3
2.2e4	 2.131e3
2.3e4	 1.994e3
2.4e4	 1.885e3
2.5e4	 1.784e3
2.6e4	 1.692e3
2.7e4	 1.606e3
2.8e4	 1.526e3
2.9e4	 1.456e3
3.e4	 1.395e3
3.2e4	 1.296e3
3.4e4	 1.238e3
3.6e4	 1.204e3
3.8e4	 1.197e3
4.e4	 1.225e3
4.2e4	 1.212e3
4.4e4	 1.237e3
4.6e4	 1.262e3
4.8e4	 1.278e3
5.e4	 1.264e3
6.e4	 1.242e3
6.25e4	 1.196e3
7.5e4	 9.433e2
1.e5	 6.622e2
1.5e5	 4.072e2
2.e5	 3.142e2
2.5e5	 2.694e2
5.e5	 1.86e2
1.e6	 1.282e2
5.e6	 5.856e1
1.e7	 3.644e1
5.e7	 3.72e0
1.e8	 9.299e-1
1.e9	 1.005e-2
