x0000,y0000
0.,0.
0.0881881347,0.
0.1763762694,0.
0.2645644041,0.
0.3527525387,0.
0.4409406734,0.
0.5291288081,0.
0.6173169428,0.
0.7055050775,0.
0.7936932122,0.
0.8818813469,0.
0.9700694816,0.
1.0582576162,0.
1.1464457509,0.
1.2346338856,0.
1.3228220203,0.
1.411010155,0.
1.4991982897,0.
1.5873864244,0.
1.6755745591,0.
1.7637626937,0.
1.8519508284,0.
1.9401389631,0.
2.0283270978,0.
2.1165152325,0.
2.2047033672,0.
2.2928915019,0.
2.3810796366,0.
2.4692677712,0.
2.5574559059,0.
2.6456440406,0.
2.7338321753,0.
2.82202031,0.
2.9102084447,0.
2.9983965794,0.
3.0865847141,0.
3.1747728487,0.0000000000
3.2629609834,0.0000000000
3.3511491181,0.0000000000
3.4393372528,0.0000000000
3.5275253875,0.0000000000
3.6157135222,0.0000000000
3.7039016569,0.0000000000
3.7920897916,0.0000000000
3.8802779262,0.0000000000
3.9684660609,0.0000000000
4.0566541956,0.0000000000
4.1448423303,0.0000000000
4.233030465,0.0000000000
4.3212185997,0.0000000016
4.4094067344,0.0000000987
4.4975948691,0.0000035244
4.5857830037,0.0000737506
4.6739711384,0.0008896023
4.7621592731,0.0060292927
4.8503474078,0.0224078815
4.9385355425,0.0468283717
5.0267236772,0.0661291708
5.1149118119,0.0789234158
5.2030999466,0.0789319329
5.2912880812,0.0674073149
5.3794762159,0.0450256299
5.4676643506,0.0173539818
5.5558524853,-0.009464083
5.64404062,-0.0300186527
5.7322287547,-0.0397665247
5.8204168894,-0.0371604142
5.9086050241,-0.0241616750
5.9967931587,-0.0044779994
6.0849812934,0.0172065238
6.1731694281,0.0350347955
6.2613575628,0.0444801437
6.3495456975,0.0429183599
6.4377338322,0.030883014
6.5259219669,0.0114693385
6.6141101015,-0.0102333072
6.7022982362,-0.0282481755
6.7904863709,-0.0382411941
6.8786745056,-0.0372055396
6.9668626403,-0.0256738693
7.055050775,-0.0065363587
7.1432389097,0.014913044
7.2314270444,0.0332431837
7.3196151790,0.0434916598
7.4078033137,0.0429324009
7.4959914484,0.0317668696
7.5841795831,0.0127858521
7.6723677178,-0.0088370374
7.7605558525,-0.0275016797
7.8487439872,-0.0383417341
7.9369321219,-0.0383936881
8.0251202565,-0.0277904674
8.1133083912,-0.0092819838
8.2014965259,0.0123004948
8.2896846606,0.031135177
8.3778727953,0.0422812512
8.46606093,0.0428463287
8.5542490647,0.0325623950
8.6424371994,0.0141842044
8.7306253340,-0.0073779417
8.8188134687,-0.0265129387
8.9070016034,-0.0381924016
8.9951897381,-0.0392556333
9.0833778728,-0.0294795119
9.1715660075,-0.0115101905
9.2597541422,0.0099752056
9.3479422769,0.0292917855
9.4361304115,0.0412593260
9.5243185462,0.0427362855
9.6125066809,0.0333739098
9.7006948156,0.0156014576
9.7888829503,-0.0059245181
9.877071085,-0.0254674948
9.9652592197,-0.0378372927
10.0534473544,-0.0398235362
10.1416354890,-0.0309162856
10.2298236237,-0.0134200151
10.3180117584,0.0080228833
10.4061998931,0.0276770863
10.4943880278,0.0403504619
10.5825761625,0.0427302003
10.6707642972,0.0341644964
10.7589524319,0.0168784359
10.8471405665,-0.0045375903
10.9353287012,-0.0243798964
11.0235168359,-0.0374099561
11.1117049706,-0.0402162998
11.1998931053,-0.0320530299
11.28808124,-0.0150528786
11.3762693747,0.0062709382
11.4644575094,0.0262263586
11.5526456440,0.0395195572
11.6408337787,0.0426609385
11.7290219134,0.0348216026
11.8172100481,0.0180423843
11.9053981828,-0.0032407112
11.9935863175,-0.0233534839
12.0817744522,-0.036949246
12.1699625869,-0.0404545368
12.2581507215,-0.0329649672
12.3463388562,-0.0164502355
12.4345269909,0.0047278503
12.5227151256,0.0249318717
12.6109032603,0.0387711377
12.699091395,0.0425759286
12.7872795297,0.0353607980
12.8754676644,0.0190440463
12.9636557990,-0.0020660732
13.0518439337,-0.0223787743
13.1400320684,-0.0364869726
13.2282202031,-0.0406292204
13.3164083378,-0.0337168663
13.4045964725,-0.0176110796
13.4927846072,0.0034039036
13.5809727418,0.0237618131
13.6691608765,0.0380625508
13.7573490112,0.0424897484
13.8455371459,0.0358474501
13.9337252806,0.0199061271
14.0219134153,-0.0010768284
14.11010155,-0.0215207974
14.1982896847,-0.0360113883
14.2864778193,-0.0407108327
14.3746659540,-0.0343591033
14.4628540887,-0.0186291854
14.5510422234,0.0022884374
14.6392303581,0.0228054630
14.7274184928,0.0374534379
14.8156066275,0.0423493241
14.9037947622,0.0362045354
14.9919828968,0.0206460465
15.0801710315,-0.0002039741
15.1683591662,-0.0207977408
15.2565473009,-0.0356364132
15.3447354356,-0.0407595664
15.4329235703,-0.0348161154
15.521111705,-0.0194093566
15.6092998397,0.0013535151
15.6974879743,0.0219547687
15.7856761090,0.0369137332
15.8738642437,0.0422347675
15.9620523784,0.0364856560
16.0502405131,0.0211989074
16.1384286478,0.0004624039
16.2266167825,-0.0201889688
16.3148049172,-0.0352593402
16.4029930518,-0.0407458810
16.4911811865,-0.0351889186
16.5793693212,-0.0200607915
16.6675574559,0.0006103739
16.7557455906,0.0213032145
16.8439337253,0.0364832866
16.93212186,0.0420958487
17.0203099947,0.0366522331
17.1084981293,0.0216150399
17.1966862640,0.0009954822
17.2848743987,-0.0197139348
17.3730625334,-0.0349911833
17.4612506681,-0.0407520651
17.5494388028,-0.0354501873
17.6376269375,-0.0205037411
17.7258150722,0.0000824907
17.8140032068,0.0207999260
17.9021913415,0.0361179295
17.9903794762,0.041955631
18.0785676109,0.0367576487
18.1667557456,0.0219045590
18.2549438803,0.0013548671
18.343132015,-0.0193994190
18.4313201497,-0.0348011784
18.5195082843,-0.0407271807
18.6076964190,-0.0355999494
18.6958845537,-0.0208034750
18.7840726884,-0.0002996241
18.8722608231,0.0204349454
18.9604489578,0.035862543
19.0486370925,0.0418539854
19.1368252272,0.0367956675
19.2250133618,0.0220350955
19.3132014965,0.0015285603
19.4013896312,-0.0192249640
19.4895777659,-0.0346692853
19.5777659006,-0.0406813536
19.6659540353,-0.0356637957
19.75414217,-0.0209608965
19.8423303046,-0.0005008214
19.9305184393,0.0202429168
20.0187065740,0.0357088586
20.1068947087,0.0417435054
20.1950828434,0.0367270537
20.2832709781,0.0220115424
20.3714591128,0.0015494147
20.4596472475,-0.0191764287
20.5478353821,-0.034621251
20.6360235168,-0.040653413
20.7242116515,-0.0356540277
20.8123997862,-0.0209559594
20.9005879209,-0.0004983031
20.9887760556,0.0202252065
21.0769641903,0.0356472241
21.165152325,0.0416306342
21.2533404596,0.036579195
21.3415285943,0.0218561236
21.4297167290,0.0014097997
21.5179048637,-0.0192829963
21.6060929984,-0.0346760242
21.6942811331,-0.0406357293
21.7824692678,-0.0355558064
21.8706574025,-0.0207983927
21.9588455371,-0.0003316370
22.0470336718,0.0203414796
22.1352218065,0.0356675431
22.2234099412,0.0415357394
22.3115980759,0.0363774152
22.3997862106,0.0215789260
22.4879743453,0.0011086494
22.57616248,-0.0195387489
22.6643506146,-0.0348133927
22.7525387493,-0.040605108
22.8407268840,-0.0353557134
22.9289150187,-0.0204822912
23.0171031534,0.0000085290
23.1052912881,0.0206049965
23.1934794228,0.035773847
23.2816675575,0.0414422406
23.3698556921,0.0360862690
23.4580438268,0.0211411846
23.5462319615,0.0006223113
23.6344200962,-0.0199487887
23.7226082309,-0.0350314023
23.8107963656,-0.0405637084
23.8989845003,-0.0350610493
23.987172635,-0.0200130331
24.0753607696,0.0005245720
24.1635489043,0.0210252377
24.2517370390,0.0359758021
24.3399251737,0.0413536755
24.4281133084,0.035707266
24.5163014431,0.0205516377
24.6044895778,-0.0000325042
24.6926777125,-0.0204959387
24.7808658471,-0.0353206326
24.8690539818,-0.0405126968
24.9572421165,-0.0346795072
25.0454302512,-0.0193999180
25.1336183859,0.0012064464
25.2218065206,0.0215890885
25.3099946553,0.0362572235
25.39818279,0.0412554482
25.4863709246,0.035231676
25.5745590593,0.0198077269
25.6627471940,-0.0008539544
25.7509353287,-0.0211750297
25.8391234634,-0.0356717089
25.9273115981,-0.0404371063
26.0154997328,-0.0341923337
26.1036878675,-0.0186260757
26.1918760021,0.0020628638
26.2800641368,0.0222946322
26.3682522715,0.0366087474
26.4564404062,0.0411369259
26.5446285409,0.0346520741
26.6328166756,0.0189055783
26.7210048103,-0.0018446244
26.8091929449,-0.0219892438
26.8973810796,-0.0360880697
26.9855692143,-0.0403390286
27.0737573490,-0.0336000222
27.1619454837,-0.0176926090
27.2501336184,0.0030890395
27.3383217531,0.0231321832
27.4265098878,0.0370178887
27.5146980224,0.0409872571
27.6028861571,0.033964073
27.6910742918,0.0178501036
27.7792624265,-0.0029910205
27.8674505612,-0.0229198117
27.9556386959,-0.0365495431
28.0438268306,-0.0402005285
28.1320149653,-0.0328895415
28.2202030999,-0.0165932143
28.3083912346,0.0042832026
28.3965793693,0.0240917054
28.4847675040,0.0374677922
28.5729556387,0.0407862051
28.6611437734,0.0331481184
28.7493319081,0.0166261383
28.8375200428,-0.0043008022
28.9257081774,-0.0239653123
29.0138963121,-0.0370469077
29.1020844468,-0.040008305
29.1902725815,-0.0320487905
29.2784607162,-0.0153214954
29.3666488509,0.0056447526
29.4548369856,0.0251674802
29.5430251203,0.0379513636
29.6312132549,0.0405283840
29.7194013896,0.0322022793
29.8075895243,0.0152361289
29.8957776590,-0.0057665439
29.9839657937,-0.0251132046
30.0721539284,-0.0375638887
30.1603420631,-0.0397463426
30.2485301978,-0.0310678084
30.3367183324,-0.0138782912
30.4249064671,0.0071604410
30.5130946018,0.0263368371
30.6012827365,0.0384420551
30.6894708712,0.0401894848
30.7776590059,0.0311091454
30.8658471406,0.013672172
30.9540352753,-0.0073854592
31.0422234099,-0.0263506004
31.1304115446,-0.0380799571
31.2185996793,-0.0393913108
31.3067878140,-0.0299259992
31.3949759487,-0.0122510926
31.4831640834,0.0088324597
31.5713522181,0.0275923241
31.6595403528,0.0389265754
31.7477284874,0.0397552201
31.8359166221,0.0298581943
31.9241047568,0.0119310909
32.0122928915,-0.0091524617
32.1004810262,-0.0276655879
32.1886691609,-0.0385805729
32.2768572956,-0.038930988
32.3650454303,-0.0286186025
32.4532335649,-0.0104450308
32.5414216996,0.0106455483
32.6296098343,0.0289112764
32.7177979690,0.0393793391
32.8059861037,0.0392029696
32.8941742384,0.0284356869
32.9823623731,0.0100122355
33.0705505077,-0.0110536365
33.1587386424,-0.0290325328
33.2469267771,-0.0390343996
33.3351149118,-0.0383362226
33.4233030465,-0.0271251245
33.5114911812,-0.008452379
33.5996793159,0.0125942488
33.6878674506,0.030277394
33.7760555852,0.0397777324
33.8642437199,0.0385096662
33.9524318546,0.0268239678
34.0406199893,0.0079081863
34.128808124,-0.0130845278
34.2169962587,-0.0304373454
34.3051843934,-0.0394232043
34.3933725281,-0.0375916135
34.4815606627,-0.0254389657
34.5697487974,-0.0062780899
34.6579369321,0.0146625762
34.7461250668,0.0316676616
34.8343132015,0.0400977498
34.9225013362,0.0376566586
35.0106894709,0.0250157697
35.0988776056,0.0056263046
35.1870657402,-0.0152234825
35.2752538749,-0.0318480251
35.3634420096,-0.0397123370
35.4516301443,-0.0366682869
35.539818279,-0.0235440048
35.6280064137,-0.0039229012
35.7161945484,0.0168337247
35.8043826831,0.0330536495
35.8925708177,0.0403063665
35.9807589524,0.0366148166
